slug	name_en	quote_en	quote_zh	source_note	source_url	core_traits	thinking_style	temperament_tags	temperament_summary	loading_copy_zh	loading_copy_en	bio_zh	bio_en	achievements_zh	achievements_en
ada_lovelace	Ada Lovelace	The Analytical Engine has no pretensions whatever to originate anything. It can do whatever we know how to order it to perform.	分析机丝毫没有凭空“创造”任何事物的野心；它只能执行我们知道如何命令它执行的事情。	Notes by the Translator, Note G (1843)	https://en.wikipedia.org/wiki/Sketch_of_The_Analytical_Engine_Invented_by_Charles_Babbage	先见性、结构想象、符号敏感、跨界表达	从抽象结构先看到未来用途，擅长把尚未落地的系统想成可操作语言。	先见型、结构想象、冷静前瞻、跨界表达	像一个比时代更早看见机器潜力的人，理性而前瞻，带着优雅的未来感。	Ada Lovelace 正在把你的思路翻译成优雅的指令……	Ada Lovelace is translating your thought process into elegant instructions...	英国数学家，长期与巴贝奇合作，是早期通用计算思想最敏锐的观察者之一。	A British mathematician who worked closely with Babbage and became one of the earliest sharp observers of general-purpose computing.	为分析机撰写经典注释｜提出机器可处理符号而不止数字｜常被视为最早的程序设计先驱	Wrote the classic notes on the Analytical Engine | Argued that machines could manipulate symbols, not just numbers | Often regarded as an earliest pioneer of programming
alonzo_church	Alonzo Church	Our subject is logic — or as we may say more fully, in order to distinguish from certain topics and doctrines which have (unfortunately) been called by the same name, it is formal logic.	我们的研究对象是逻辑——更准确地说，为了与那些不幸也被叫作“逻辑”的话题和学说区分开来，它是形式逻辑。	Introduction to Formal Logic (1956)	https://history.computer.org/pioneers/church.html	形式主义、定义洁癖、边界意识、推理纪律	先严格界定语言与规则，再允许推演展开，重视可定义性胜过直觉热情。	形式主义、定义驱动、克制冷峻、边界意识强	像一个先把定义钉牢、再允许思想推进的人，气质冷静而近乎法官式。	Alonzo Church 正在把你的问题压缩成最干净的逻辑表达……	Alonzo Church is compressing your question into its cleanest logical form...	美国逻辑学家，二十世纪数理逻辑核心人物之一，对可计算性定义影响深远。	An American logician and one of the central figures of twentieth-century mathematical logic, with lasting influence on how computability is defined.	提出 lambda 演算｜与图灵共同奠定可计算性理论｜证明 Entscheidungsproblem 不可判定	Introduced lambda calculus | Helped lay the foundations of computability theory alongside Turing | Showed that the Entscheidungsproblem is undecidable
andrey_kolmogorov	Andrey Kolmogorov	The theory of probability as a mathematical discipline can and should be developed from axioms in exactly the same way as geometry and algebra.	概率论作为一门数学学科，完全可以而且应该像几何学和代数学一样，从公理出发来建立。	Foundations of the Theory of Probability (1933)	https://homepage.divms.uiowa.edu/~jorgen/kolmogorovquotesource.html	公理化、压缩能力、抽象稳健、结构控制	倾向把复杂现象压缩成最少公理，再从基础结构统一展开。	公理化、压缩力强、理性自信、寡言稳硬	像一个把混沌现象压缩成清晰结构的人，气质极稳，几乎不浪费动作。	Kolmogorov 正在用极简公理替你整理这团复杂性……	Kolmogorov is tidying this complexity with a few minimal axioms...	苏联数学家，研究跨度极广，从概率论到湍流理论都留下深刻印记。	A Soviet mathematician of extraordinary range, leaving deep marks on fields from probability theory to turbulence.	建立现代概率论公理体系｜推动算法复杂性思想发展｜在湍流与随机过程研究中影响深远	Built the modern axiomatic foundation of probability | Advanced ideas that shaped algorithmic complexity | Deeply influenced the study of turbulence and stochastic processes
benoit_mandelbrot	Benoit Mandelbrot	Bottomless wonders spring from simple rules, which are repeated without end.	无尽的奇观，源自简单规则被无穷无尽地重复。	The Fractal Geometry of Nature (1982)	https://en.wikiquote.org/wiki/Benoit_Mandelbrot	边界敏感、反常规、图景直觉、尺度意识	擅长在粗糙、异常与噪声中识别重复模式，从视觉与结构双线同时思考。	反常规探索、图景敏感、边界迷恋、审美外放	像一个总能在噪声、粗糙和异常里看见隐藏秩序的人，带着强烈的视觉与反叛气质。	Mandelbrot 正在放大你的细节，看看哪里藏着分形的脾气……	Mandelbrot is zooming into the details to see where the fractal temperament is hiding...	法裔美籍数学家，以跨学科视角研究粗糙性、尺度与自然界的不规则结构。	A French-American mathematician who approached roughness, scale, and irregular natural structure through a vividly interdisciplinary lens.	开创分形几何的公共语言｜推广 Mandelbrot 集｜把复杂自然形态带回数学中心	Gave fractal geometry a public language | Popularized the Mandelbrot set | Brought complex natural forms back to the center of mathematics
charles_darwin	Charles Darwin	Natural selection can act only by taking advantage of slight successive variations; she can never take a leap, but must advance by short and sure, though slow steps.	自然选择只是利用微细的、连续的变异而发生作用；她大自然从来不能采取巨大而突然的飞跃。	中文现成译法引自 zh.wikiquote：達爾文	https://zh.wikiquote.org/wiki/%E9%81%94%E7%88%BE%E6%96%87	长期积累、证据敏感、耐心归纳、机制意识	通过长时间收集细碎证据逐步逼近机制，不急于下结论但一旦成形就很稳。	长期积累、证据敏感、慢热克制、稳步建构	像一个愿意让材料自己发酵到足够厚再下结论的人，耐心、克制、后劲极强。	Darwin 正在耐心观察你的特征，暂时拒绝草率下结论……	Darwin is patiently observing your traits and refusing to jump to conclusions too quickly...	英国博物学家，通过长期观察与比较，重塑了人类对生命演化的理解。	A British naturalist who reshaped humanity's understanding of life through long observation, comparison, and synthesis.	提出自然选择学说｜出版《物种起源》｜系统整理大量演化证据	Proposed evolution by natural selection | Published On the Origin of Species | Organized a vast body of evidence for evolution
claude_shannon	Claude Shannon	The fundamental problem of communication is that of reproducing at one point either exactly or approximately a message selected at another point.	通信的根本问题，在于如何在某一点把另一点所选择的消息精确地或近似地重现出来。	A Mathematical Theory of Communication (1948)	https://en.wikiquote.org/wiki/Claude_Shannon	极简抽象、模型压缩、游戏感、工程直觉	先把问题压成最小信息结构，再用简洁模型处理本质，不恋战于表面复杂性。	极简抽象、游戏感、工程-理论双栖、冷幽默	像一个把最深问题先压成最简单模型、再顺手玩出花样的人，轻松却极强。	Claude Shannon 正在把你的气质编码成最省比特的版本……	Claude Shannon is encoding your temperament into the most bit-efficient form possible...	美国数学家与工程师，信息时代的奠基者之一，擅长把通信问题抽象到极致。	An American mathematician and engineer, and one of the founders of the information age, famed for abstracting communication problems to their essence.	创立信息论｜定义 bit 的核心地位｜证明布尔代数可用于电路设计	Founded information theory | Established the central role of the bit | Showed that Boolean algebra could be used in circuit design
enrico_fermi	Enrico Fermi	There are two possible outcomes: if the result confirms the hypothesis, then you have made a measurement. If the result is contrary to the hypothesis, then you have made a discovery.	有两种可能的情况：如果实验结果符合假设，这就是测量；如果不符合假设，这就是发现。	中文现成译法引自 zh.wikiquote：費米	https://zh.wikiquote.org/wiki/%E8%B2%BB%E7%B1%B3	问题驱动、估算能力、实验手感、务实推进	先快速抓住可算、可测、可推进的核心，再用高效近似和实验判断持续逼近答案。	问题追猎、手感极强、务实高效、冷静推进	像一个不迷恋姿态、只想尽快把问题摸透并推进的人，硬朗、实用、判断快。	Fermi 正在顺手做一个数量级估算，看看你到底像谁……	Fermi is casually doing a back-of-the-envelope estimate to see who you really resemble...	意大利裔美国物理学家，以极强的理论与实验双栖能力闻名。	An Italian-American physicist known for extraordinary strength in both theory and experiment.	主持建成首个可控核反应堆｜发展 Fermi-Dirac 统计｜推动中子物理与粒子物理发展	Led the construction of the first controlled nuclear reactor | Developed Fermi-Dirac statistics | Advanced neutron physics and particle physics
feynman	Richard Feynman	What I cannot create, I do not understand.	我不能创造的东西，我就不理解。	中文现成译法引自 zh.wikiquote：費曼	https://zh.wikiquote.org/wiki/%E8%B2%BB%E6%9B%BC	问题驱动、个人理解、解释冲动、直觉建模	必须把问题理解到能亲手重建和讲明白，偏爱从第一性直觉出发自己推一遍。	playful、强解释欲、问题驱动、外放通透	像一个非得把东西弄懂到能亲手讲明白才算数的人，明亮、好玩、推进感极强。	Feynman 正在确认这件事能不能讲给大一新生听……	Feynman is checking whether this can be explained to a first-year student...	美国理论物理学家，思维直接、表达鲜活，是二十世纪最具个人风格的科学家之一。	An American theoretical physicist with a direct mind and vivid voice, and one of the most distinctive scientific personalities of the twentieth century.	发展路径积分方法｜与他人共同建立量子电动力学核心框架｜留下广受欢迎的物理教学体系	Developed the path integral formulation | Helped build the core framework of quantum electrodynamics | Left behind a beloved body of physics teaching
freeman_dyson	Freeman Dyson	I think it's almost true without exception if you want to win a Nobel Prize, you should have a long attention span, get hold of some deep and important problem and stay with it for ten years. That's not my style.	如果你想获得诺贝尔奖，我认为这几乎是正确的。你应该长期集中注意力，掌握一些深刻而重要的问题，并坚持十年，这不是我的风格。	中文现成译法引自 zh.wikiquote：弗里曼·戴森；英文原句按 Dyson 2009 采访常见转引统一	https://zh.wikiquote.org/wiki/%E5%BC%97%E9%87%8C%E6%9B%BC%C2%B7%E6%88%B4%E6%A3%AE	跨界联结、工具意识、广域兴趣、桥接能力	不执着单点深挖，更擅长在不同领域之间搭桥，为别人造出可继续使用的工具。	跨界游侠、工具建造、温和异想、广撒型	像一个不愿被单一阵地困住的人，偏爱搭桥、造工具、把不同世界连起来。	Dyson 正在把不同流派的答案悄悄拼成一张大图……	Dyson is quietly stitching different schools of thought into one larger picture...	英裔美籍理论物理学家与思想家，擅长在不同学派与尺度之间搭桥。	A British-American theoretical physicist and public intellectual, gifted at building bridges across schools, scales, and styles of thinking.	统一量子电动力学多种表述｜提出 Dyson sphere 概念｜长期活跃于科学公共写作	Unified multiple formulations of quantum electrodynamics | Proposed the Dyson sphere concept | Remained a major voice in public scientific writing
galileo	Galileo Galilei	Nature's great book is written in mathematical language.	自然界这本书是用数学语言写的！	中文现成译法引自 zh.wikiquote：伽利略·伽利莱	https://zh.wikiquote.org/wiki/%E4%BC%BD%E5%88%A9%E7%95%A5%C2%B7%E4%BC%BD%E5%88%A9%E8%8E%B1	实验反证、数学化、问题切穿、对抗精神	用可观察事实和数学语言去切穿旧权威，喜欢把争论拉回可检验层面。	对抗权威、锋利外放、实验与数学并举、戏剧性强	像一个不仅要看见真相，还要把它公开说出来的人，锋利、张扬且带一点舞台感。	Galileo 正把望远镜对准你的细节，看看证据站在哪边……	Galileo is turning the telescope toward your details to see which side the evidence supports...	意大利科学家，以观察、实验和公开论辩推动近代科学方法成形。	An Italian scientist who helped shape modern scientific method through observation, experiment, and public argument.	改进望远镜并进行系统天文观测｜支持日心说传播｜推动实验物理与运动研究	Improved the telescope and carried out systematic astronomical observations | Helped spread heliocentrism | Advanced experimental physics and the study of motion
georg_cantor	Georg Cantor	The essence of mathematics lies entirely in its freedom.	数学的本质在于它的自由。	中文现成译法见中文网络转载/文章（康托尔名言）	https://cloud.tencent.com/developer/article/1940580	无限观、边界突破、抽象勇气、概念开疆	敢于把思想推入别人不愿进入的抽象边界，用新概念重画整个问题空间。	绝对抽象、孤勇突破、边界执念、悲剧感	像一个宁可把自己推到边界外，也要为新概念开疆拓土的人，孤绝而壮阔。	Cantor 正在替你数一数，连无限也别想逃过登记……	Cantor is making a register for your ideas, and not even infinity gets to escape counting...	德国数学家，以极具革命性的方式重塑了数学对无穷的理解。	A German mathematician who radically transformed how mathematics understands the infinite.	创立集合论｜提出超穷数与基数理论｜推动现代数学基础问题讨论	Founded set theory | Introduced transfinite numbers and cardinal theory | Pushed modern debates on the foundations of mathematics
gh_hardy	G. H. Hardy	A mathematician, like a painter or a poet, is a maker of patterns.	数学家，就像画家、诗人一样，都是模式的创造者。	中文现成译法见《一个数学家的辩白》中文网络转载	https://blog.csdn.net/u013669912/article/details/155500245	审美优先、纯粹主义、模式敏感、证明品味	把数学首先看成形式与美的事业，偏好优雅模式而非功利性结果。	审美洁癖、纯粹主义、克制傲气、智性优雅	像一个把数学首先当作审美事业来对待的人，冷而高贵，对粗糙极不耐烦。	Hardy 正在挑剔地检查你的证明有没有偷懒……	Hardy is sternly checking whether your proof has tried to cut any corners...	英国数学家，强调纯数学的严格与优雅，也是 Ramanujan 的重要合作伙伴。	A British mathematician who championed rigor and elegance in pure mathematics, and an important collaborator of Ramanujan.	推动解析数论发展｜与 Littlewood 建立高产合作｜识别并支持 Ramanujan 的天赋	Advanced analytic number theory | Built a famously productive partnership with Littlewood | Recognized and supported Ramanujan's genius
godel	Kurt Godel	Either mathematics is too big for the human mind, or the human mind is more than a machine.	要么数学对于人类心智来说过于庞大，要么人类心智本身就不止是一台机器。	As quoted in Hao Wang, Reflections on Kurt Godel (1987)	https://en.wikiquote.org/wiki/Kurt_G%C3%B6del	极限意识、自指敏感、深层怀疑、逻辑穿透	总在系统最深层寻找不可避免的裂缝，擅长从内部规则推出其自身边界。	内向冷峻、深层怀疑、逻辑极限感、孤绝	像一个总在系统最深处寻找裂缝的人，安静、顽固，带着几乎不可接近的密度。	Godel 正在提醒大家：系统看起来完整，不代表真的完整……	Godel is reminding everyone that a system looking complete does not mean it truly is complete...	奥地利裔逻辑学家，以极强的形式敏感度挑战了现代数学基础的乐观主义。	An Austrian logician whose extraordinary sensitivity to formal structure challenged optimistic views of mathematical foundations.	提出不完备定理｜证明一阶逻辑的完备性｜深刻影响逻辑、哲学与计算理论	Proved the incompleteness theorems | Proved the completeness of first-order logic | Deeply influenced logic, philosophy, and computation theory
grigori_perelman	Grigori Perelman	If the proof is correct, then no other recognition is needed.	如果证明是正确的，那就不需要任何别的认可。	As quoted in Euler's Gem (2012)	https://en.wikiquote.org/wiki/Grigori_Perelman	深潜执拗、纯问题导向、抗外界干扰、证明洁癖	只围绕核心问题长期下潜，不愿被名望、合作或外部节奏打断。	独行、反名望、深潜执拗、冷硬纯问题导向	像一个只对问题本身负责的人，对外部评价体系几乎天然免疫。	Perelman 正安静地坐在角落里，只在关键一步给你答案……	Perelman is sitting quietly in the corner, saving the decisive step for exactly the right moment...	俄罗斯数学家，以极端专注和低调著称，解决了几何拓扑中的世纪难题。	A Russian mathematician known for extreme focus and reserve, who solved one of the century's hardest problems in geometry and topology.	完成 Poincare 猜想证明｜推进 Hamilton 的 Ricci flow 方案｜拒绝菲尔兹奖与克雷奖金	Completed the proof of the Poincare conjecture | Pushed Hamilton's Ricci flow program forward | Declined the Fields Medal and the Clay Millennium Prize
grothendieck	Alexander Grothendieck	One does not need to have specific examples in mind in order to think about mathematics.	思考数学，并不需要脑中先摆着某个具体例子。	Commonly quoted in reminiscences about Grothendieck	https://en.wikiquote.org/wiki/Alexander_Grothendieck	体系扩张、语言重造、抽象深潜、地基重建	面对问题时倾向重造框架与语言，而不是在既有结构里做局部修补。	自成宇宙、体系扩张、抽象深潜、疏离	像一个不愿在旧地基上修补，而宁可重造整套语言与世界的人，宏大且疏离。	Grothendieck 正在把你的小问题抬升到一个更高的宇宙层级……	Grothendieck is lifting your small problem into a much larger universe of structure...	法籍数学家，擅长用全新的抽象框架重写整个问题空间。	A French mathematician known for rewriting entire problem spaces through radically new abstract frameworks.	重塑现代代数几何框架｜发展 scheme 与 topos 等核心概念｜影响几代纯数学研究者	Reshaped modern algebraic geometry | Developed core ideas such as schemes and topoi | Influenced generations of pure mathematicians
herbert_simon	Herbert A. Simon	What information consumes is rather obvious: it consumes the attention of its recipients. Hence a wealth of information creates a poverty of attention, and a need to allocate that attention efficiently among the overabundance of information sources that might consume it.	在信息丰富的世界里，信息的丰富意味其他东西的匮乏：信息消费掉的东西的稀缺。信息消费掉什么是显而易见的：它消费了信息接受者的注意力。因此，大量的信息造成了人们的注意力的贫乏，因此需要在过量的消耗注意力的信息来源中高效地分配注意力。	中文现成译法引自中文维基百科“注意力经济”条目，对应 Simon 1971, pp. 40–41	https://zh.wikipedia.org/wiki/%E6%B3%A8%E6%84%8F%E5%8A%9B%E7%B6%93%E6%BF%9F	决策框架、组织意识、跨域建模、有限理性	擅长把复杂行为拆成可管理的决策结构，用框架而非灵感处理复杂度。	工程理性、跨域组织、温和务实、决策框架感	像一个不断把复杂人类活动整理成可操作结构的人，务实、清醒、组织感很强。	Herbert Simon 正在评估：你到底是理性，还是有限理性……	Herbert Simon is evaluating whether you are being rational, or only boundedly rational...	美国学者，横跨计算机、心理学、管理学与经济学，真正意义上的跨界研究者。	An American scholar who moved across computer science, psychology, management, and economics with unusual ease.	提出有限理性理论｜推动早期人工智能研究｜因决策理论获诺贝尔经济学奖	Introduced bounded rationality | Advanced early artificial intelligence research | Won the Nobel Prize in Economics for decision theory
hermann_weyl	Hermann Weyl	My work always tried to unite the true with the beautiful, but when I had to choose one or the other, I usually chose the beautiful.	我的工作始终试图把真与美统一起来；但当我不得不在两者之间做选择时，我通常会选择美。	As quoted in Hermann Weyl, 1885–1985 (1986)	https://en.wikiquote.org/wiki/Hermann_Weyl	真美统一、哲思抽象、跨域联通、形式感	在抽象结构、物理图景与哲学意味之间来回穿梭，追求真与美的同时成立。	真与美统一、哲思型、克制高雅、跨域抽象	像一个始终想把真理与美感一起保留下来的人，抽象而不失贵气。	Weyl 正在给你的想法配上一层对称性的滤镜……	Weyl is placing a symmetry filter over your ideas to see what suddenly aligns...	德国数学家与理论物理学家，擅长在几何、代数与物理之间寻找统一。	A German mathematician and theoretical physicist gifted at finding unity across geometry, algebra, and physics.	推动群表示与几何研究｜提出早期规范场思想｜在数学物理桥梁建设中影响深远	Advanced group representation theory and geometry | Introduced early gauge-field ideas | Helped build the bridge between mathematics and physics
hilbert	David Hilbert	We must know. We will know.	我们必须知道，我们必将知道。	中文现成译法引自 zh.wikiquote：大卫·希尔伯特	https://zh.wikiquote.org/wiki/%E5%A4%A7%E5%8D%AB%C2%B7%E5%B8%8C%E5%B0%94%E4%BC%AF%E7%89%B9	体系建构、纲领意识、形式秩序、组织能力	不仅解决单个问题，更倾向为整片领域制定问题表和方法边界。	体系建构、宣言式、自信外放、秩序感强	像一个不仅要解决问题，还要为整片领域立法的人，强势、明亮、组织力极高。	Hilbert 正在把你的问题整理成一份像样的世纪清单……	Hilbert is reorganizing your question into a respectable century-defining list...	德国数学家，二十世纪初数学共同议程的重要塑造者。	A German mathematician who helped set the shared agenda of mathematics at the start of the twentieth century.	提出著名的 23 个问题｜推动形式主义数学观｜Hilbert 空间成为现代分析核心工具	Posed the famous 23 problems | Advanced the formalist view of mathematics | Hilbert spaces became a core tool of modern analysis
isaac_newton	Isaac Newton	Hypotheses non fingo.	我不做假设。	中文现成译法引自 zh.wikiquote：艾萨克·牛顿	https://zh.wikiquote.org/wiki/%E8%89%BE%E8%90%A8%E5%85%8B%C2%B7%E7%89%9B%E9%A1%BF	第一性奠基、强内驱、统一欲、独立推演	习惯独自从最基础原则出发推演出完整体系，追求把多个现象压入同一法则。	内燃孤绝、控制欲强、神秘克制、奠基者气质	像一个把巨大能量都压在内部、只在结果层面显露的人，冷、硬、不可撼动。	Newton 正在把苹果、行星和你脑中的问题绑进同一套方程……	Newton is tying apples, planets, and the problem in your head into one system of equations...	英国科学家，在数学、力学与光学上都建立了近代科学的关键支柱。	A British scientist who established essential pillars of modern science across mathematics, mechanics, and optics.	提出经典力学三定律｜建立万有引力理论｜在微积分与光学研究中开创时代	Formulated the three laws of motion | Built the theory of universal gravitation | Opened new eras in calculus and optics
